userNo,registerDays,completedBuyOrderNum,completedSellOrderNum,counterpartyCount,completedBuyOrderNumOfLatest30day
sf73512f53a1835718a7a194a98386e2d,35,56,0,17,49
sa87bf03b2f02332e841a1b5ffa34373b,1180,44,1,32,13
sa6b0ce07953e37388e05ca5c2ab9bcd8,1558,70,4,62,18
sd5b7204e28ca3108bd3a7263ddbf9825,681,19,15,32,10
sab242b2fee96378ea073b6ee943cdab9,646,75,33,89,23
sfe1e6ed58b7a3d2bb5c76db5ba655e01,17,7,0,7,7
s9f9c84bbc3d8392f90c53a436063d630,522,166,89,179,8
s6b2185c68cbe3fa3a0df8312cd749f50,396,14,4,9,14
sb9bfbf5d5c6336c080634679c33421a2,1376,131,0,97,5
s5c7c88f4051d37e588f7b7eb2e61db60,389,111,150,224,109
s6366e6cd8a0437a59a08dd0a9cf69cdf,130,1,0,1,1
s7867460c5aac3ac2819f7b9e0606c777,1026,304,115,310,14
s687d546319ef31b09f044c02929c93f7,1584,273,163,350,4
s109f34d0a1943634ac025d45fe6d2adb,105,8,1,6,1
s511934991692314ea949fe2cec0e0582,322,212,0,46,31
s15aa7755155b36a291558b216aac2f94,1804,276,22,181,31
s8ee9f383147e332e9b4a4e9247b42c45,97,3,3,5,2
s5c0dc31a9ffc30f5910cac3597499541,14,8,0,3,8
sdec285d5a879341caa97444d53107cc7,459,61,2,32,25
sba71bb5cf9ea38b398373dcf209cbc92,398,49,7,37,4
s7dddef1eb34c38209a19466a1b18b07b,16,11,1,7,11
sb92433e5a0d2326294393d9c01c3be6f,17,14,2,15,14
sab3a50ae43ef3cd6ba94ca926016fffa,16,12,2,8,12
s2f3fe4c35168386abaca403e0225362e,1254,16,17,25,2
sf5583279dd24371abefd7eae1935e34b,94,37,0,15,13
s1b6a50d070823153b1115182f4f13d7f,1243,468,255,516,12
s2e3be2d900b33404ad88d1329f578614,225,9,0,7,3
sac521520a30a3b8d86faacb0082bb52c,35,3,0,3,3
sf57c6e79534639b29137a9995498a938,1693,64,0,32,15
s2375c4124b3d3145b53ab0b91019da2d,45,31,0,27,31
s79de4201c0033ad2afa7f2f0d5d51100,135,327,10,57,73
scc0c6e839f0031b6bd8755919cb0c876,1353,96,14,83,8
sfe2af78df3fe3f4c8ace62e491faf07d,311,54,0,21,15
saecaeeb1daec300192c2f62a78eb65a8,66,61,1,15,25
s847eac0db0cb37e58657d08b9be46436,152,12,0,11,2
sef5ddb35704a3fb5b9b628719a5724af,69,66,64,109,36
se7c3f62462d23a83b6691f3e7f697637,24,1,0,1,1
s9fbea7ba577e3e8ea17a8985a1c7a67b,48,7,0,6,4
s9c72ff9b9ce834ffaba6afe2faa2de67,258,20,8,23,10
sc256f02893f53e369420d220c09c292b,16,2,0,2,2
sa17f89001ba833bc8da33e3c706345aa,916,582,22,50,163
s5f2e0bcd3f9b3305bfc7c0a550acd84c,597,119,628,589,16
s8ca13c0d3897366d9fc2aec0bb2e4def,81,24,0,4,3
s3924f21410e531549429ff8754107b5a,14,0,0,0,0
sddfb72c66ac238ec846edfaf040fb1de,306,146,1,58,58
sd8f935f2bcbd321cbd358b033054fbd7,1728,31,2,30,6
s5bcc4ef73c6b39f695655828620e9b92,55,10,0,9,3
sdfdf7921de673d7a9a88db70ac95037c,508,226,29,102,54
sb6c4da5be48d305a934dc537c3af570e,1316,4,8,10,4
se2bc2b0c4f353be79ff97108a28d7add,209,11,0,4,2
se26166ad2ef93d05ad6b9c71183acc76,40,0,0,0,0
s656761e7d79f3ea08f547f5344ac24bd,684,0,4,4,0
s79a0fd2ff3f138d9845162edc5a8f9cb,215,47,12,29,47
s8f39cd8420bb3affa9e7f33f4ae30b69,2932,52,89,118,2
sa74109be01aa3d308eb8b403271579bc,451,180,26,42,38
s85f6f007918533c4ab2c850dba993706,92,227,20,113,115
s7b272ff3994f369cbb99b7060bdfc3bd,15,2,0,2,2
s0ce815cff6cb38b4a36307c49fdff27a,13,4,0,4,4
sc9f78f76e7d432da82a135b7e3b7dd94,16,2,0,2,2
s304aac48f0ce3547916ca791e9b54307,51,18,8,20,11
sba101501410435a7b447a448e59aa62c,13,2,0,2,2
s68479c7a5f243116b6ca041d34d070f8,349,75,0,35,7
seb25cae10c773325ba98d94c6ed492f5,24,3,2,4,3
sa04b3bbff95f3a63900c2729646b4431,31,11,0,9,11
sf0275bed6b753e4eac603de60a8570a2,19,5,0,5,5
sa8c4b7b6685b3481934a54a7b51b5172,90,2,0,2,2
s00c686c8b6a9328c950ea79f443308ce,971,69,28,82,3
sb7e3bfb564c53ef19034e0db80455f2e,1727,13,0,12,3
s4749e961dc24393dafba8df679c0c082,1781,292,15,153,12
s8d0ae4bb7ede301ab963bd96dd440060,22,9,0,7,9
sc889b2c16e173eb58bfedca882fba7e2,105,173,70,166,132
s3abdc3b4ecb13c66accf87db9db15192,44,7,5,9,1
s85d2ce6965c233aca5d8bec0a32f11c6,17,1,0,1,1
s9f078aa1f7523932b83e781bb891df6d,96,30,10,25,16
sf0e1058ebeb13ad489cb69503467f554,246,66,28,30,21
sf34de05bea38349f9428628e43642f9a,587,13,0,5,11
s84b9cf9d9ba832fdb7fa932103eb74ad,24,1,0,1,1
sde6d8a55184c3c089707178643335994,31,27,0,11,27
s480f628e38853db6b804baeea7f941bd,32,18,2,8,18
sf7b2206bf425384c813b2da86e7bf573,236,19,6,12,14
s20bdb81304e336b681d870a2bdb286a2,13,0,0,0,0
sd2665895de8835809a1d7d0ff8873a4d,353,2,0,2,0
se30009c26bc7341a8fcaf4e9832aeec3,1217,15,4,15,8
s2cc36953295b30deb91a3414ab18ce0b,352,68,21,56,5
s92a526d99fec38c9aad965e77e8c1013,551,4,2,6,2
s6fd793cdc24b3ef9bdd588e1f0d7cf94,1416,310,323,442,12
sc2f6062307f3341d940d5ab82b84016a,771,95,29,71,9
sf4f3991a6d2833e8907238cee0d9b235,417,186,10,84,13
s9a3f5a2d801737638d054b4a8726c2a7,510,389,21,292,52
sd99ab81d3bc9351cac72f397d6bae7cf,587,29,0,17,10
sed2cb9285b1c37fbaa1823040abb73c6,454,249,2,177,29
s391780d772be30ffaa27895404dd10b7,469,5,0,5,1
s071e033df3dc3c28a40a60d69bbaf380,82,231,0,70,56
seeae00df176f321f85ddbe68053c6d73,71,178,35,57,51
s49e6ed035a8d3a24b2af29102b5a7d7a,454,3,0,3,3
s4f957e4670573c688d5859934ee7a475,482,55,5,27,20
see4bbba4cfb5326a83eb8aa62842476e,199,246,49,204,158
s86e5a0e861263caca4593bf526146bc0,470,87,1,67,7
sc0dacc5f3d993eb48787c9c987dba84d,264,18,22,34,18
secccf48d07fa3976a5def55b6928b249,2014,77,0,26,59
scfb7c50ca3313c37806c2c9e31ac4ff6,509,57,2,39,17
s2938aef8dd973c8d97bafec9bb78a8ba,13,0,0,0,0
sea9eabd01e34301eb161cd7a104271af,1934,131,46,85,8
s806ca01c1da032cab010f5753b4afc6b,1412,47,19,37,3
