registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount,userNo
36,36,0.0,92.47,0.855,47,47,0,0,56,56,0,0,0,0,17,sf73512f53a1835718a7a194a98386e2d
1181,1180,0.0,214.92,0.522,12,12,0,0,45,44,1,0,0,0,32,sa87bf03b2f02332e841a1b5ffa34373b
1559,1558,0.0,100.95,1.0,20,20,0,0,76,72,4,0,0,0,63,sa6b0ce07953e37388e05ca5c2ab9bcd8
682,400,67.0,139.2,1.0,13,10,3,0,34,19,15,0,0,0,32,sd5b7204e28ca3108bd3a7263ddbf9825
647,417,81.0,94.36,0.904,28,22,6,0,112,78,34,0,0,0,92,sab242b2fee96378ea073b6ee943cdab9
18,16,0.0,170.0,0.389,7,7,0,0,7,7,0,0,0,0,7,sfe1e6ed58b7a3d2bb5c76db5ba655e01
523,523,0.0,163.5,0.889,8,8,0,0,255,166,89,0,0,0,179,s9f9c84bbc3d8392f90c53a436063d630
397,24,2107.5,132.07,0.75,18,14,4,0,18,14,4,0,0,0,9,s6b2185c68cbe3fa3a0df8312cd749f50
1377,1311,0.0,82.4,0.858,6,5,0,0,131,131,0,0,0,0,97,sb9bfbf5d5c6336c080634679c33421a2
390,325,150.35,280.05,0.882,268,113,155,0,271,115,156,0,0,0,232,s5c7c88f4051d37e588f7b7eb2e61db60
131,14,0.0,293.0,0.5,1,1,0,0,1,1,0,0,0,0,1,s6366e6cd8a0437a59a08dd0a9cf69cdf
1027,868,78.89,177.5,0.767,23,14,9,0,419,304,115,0,0,0,310,s7867460c5aac3ac2819f7b9e0606c777
1585,1209,0.0,277.25,0.8,4,4,0,0,436,273,163,0,0,0,350,s687d546319ef31b09f044c02929c93f7
106,105,0.0,563.0,0.125,1,1,0,0,9,8,1,0,0,0,6,s109f34d0a1943634ac025d45fe6d2adb
323,159,0.0,82.0,1.0,30,30,0,0,212,212,0,0,0,0,46,s511934991692314ea949fe2cec0e0582
1805,1697,0.0,74.79,0.869,33,33,0,0,300,278,22,0,0,0,181,s15aa7755155b36a291558b216aac2f94
98,98,0.0,162.0,0.334,2,2,0,0,6,3,3,0,0,0,5,s8ee9f383147e332e9b4a4e9247b42c45
15,14,0.0,115.88,0.616,8,8,0,0,8,8,0,0,0,0,3,s5c0dc31a9ffc30f5910cac3597499541
460,78,119.0,110.84,0.675,27,25,2,0,63,61,2,0,0,0,32,sdec285d5a879341caa97444d53107cc7
399,398,44.0,94.75,1.0,6,4,2,0,56,49,7,0,0,0,37,sba71bb5cf9ea38b398373dcf209cbc92
17,17,101.0,173.58,0.591,13,12,1,0,13,12,1,0,0,0,8,s7dddef1eb34c38209a19466a1b18b07b
18,15,592.0,191.0,0.552,16,14,2,0,16,14,2,0,0,0,15,sb92433e5a0d2326294393d9c01c3be6f
17,15,334.5,357.17,0.7,14,12,2,0,14,12,2,0,0,0,8,sab3a50ae43ef3cd6ba94ca926016fffa
1255,762,69.67,144.0,1.0,5,2,3,0,33,16,17,0,0,0,25,s2f3fe4c35168386abaca403e0225362e
95,87,0.0,95.87,0.834,15,15,0,0,39,39,0,0,0,0,16,sf5583279dd24371abefd7eae1935e34b
1244,1244,20431.67,254.43,0.8,20,14,6,0,725,470,255,0,0,0,516,s1b6a50d070823153b1115182f4f13d7f
226,220,0.0,278.33,1.0,3,3,0,0,9,9,0,0,0,0,7,s2e3be2d900b33404ad88d1329f578614
36,31,0.0,106.5,0.5,2,2,0,0,3,3,0,0,0,0,3,sac521520a30a3b8d86faacb0082bb52c
1694,1666,0.0,138.33,0.883,15,15,0,0,64,64,0,0,0,0,32,sf57c6e79534639b29137a9995498a938
46,14,0.0,138.86,0.735,36,36,0,0,36,36,0,0,0,0,31,s2375c4124b3d3145b53ab0b91019da2d
136,136,96.8,55.1,0.82,91,81,10,0,350,338,12,0,0,0,58,s79de4201c0033ad2afa7f2f0d5d51100
1354,1354,0.0,146.88,0.889,8,8,0,0,110,96,14,0,0,0,83,scc0c6e839f0031b6bd8755919cb0c876
312,312,0.0,127.87,0.883,15,15,0,0,54,54,0,0,0,0,21,sfe2af78df3fe3f4c8ace62e491faf07d
67,67,37.0,59.72,0.703,26,25,1,0,62,61,1,0,0,0,15,saecaeeb1daec300192c2f62a78eb65a8
153,152,33.0,125.0,0.75,3,2,1,0,13,12,1,0,0,0,12,s847eac0db0cb37e58657d08b9be46436
70,70,84.0,125.07,0.812,82,41,41,0,139,71,68,0,0,0,113,sef5ddb35704a3fb5b9b628719a5724af
25,14,0.0,394.0,1.0,1,1,0,0,1,1,0,0,0,0,1,se7c3f62462d23a83b6691f3e7f697637
49,49,0.0,186.8,0.5,5,5,0,0,8,8,0,0,0,0,7,s9fbea7ba577e3e8ea17a8985a1c7a67b
259,256,514.33,508.5,0.867,13,10,3,0,28,20,8,0,0,0,23,s9c72ff9b9ce834ffaba6afe2faa2de67
17,16,0.0,467.5,0.5,2,2,0,0,2,2,0,0,0,0,2,sc256f02893f53e369420d220c09c292b
917,859,61.17,61.45,0.989,171,165,6,0,606,584,22,0,0,0,50,sa17f89001ba833bc8da33e3c706345aa
598,498,67.17,161.69,0.966,28,16,12,0,754,119,635,0,0,0,596,s5f2e0bcd3f9b3305bfc7c0a550acd84c
82,82,0.0,85.67,1.0,3,3,0,0,24,24,0,0,0,0,4,s8ca13c0d3897366d9fc2aec0bb2e4def
15,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,s3924f21410e531549429ff8754107b5a
307,233,4967.0,48.47,0.937,59,58,1,0,147,146,1,0,0,0,58,sddfb72c66ac238ec846edfaf040fb1de
1729,779,0.0,76.0,0.75,6,6,0,0,33,31,2,0,0,0,30,sd8f935f2bcbd321cbd358b033054fbd7
56,54,0.0,124.67,0.75,3,3,0,0,10,10,0,0,0,0,9,s5bcc4ef73c6b39f695655828620e9b92
509,507,46.17,62.18,0.862,62,56,6,0,259,230,29,0,0,0,104,sdfdf7921de673d7a9a88db70ac95037c
1317,51,77.33,294.25,0.584,7,4,3,0,12,4,8,0,0,0,10,sb6c4da5be48d305a934dc537c3af570e
210,167,0.0,78.5,0.667,2,2,0,0,11,11,0,0,0,0,4,se2bc2b0c4f353be79ff97108a28d7add
41,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,se26166ad2ef93d05ad6b9c71183acc76
685,616,0.0,0.0,0.0,0,0,0,0,4,0,4,0,0,0,4,s656761e7d79f3ea08f547f5344ac24bd
216,216,374.08,93.43,0.72,59,47,12,0,59,47,12,0,0,0,29,s79a0fd2ff3f138d9845162edc5a8f9cb
2933,1227,0.0,116.5,1.0,2,2,0,0,141,52,89,0,0,0,118,s8f39cd8420bb3affa9e7f33f4ae30b69
452,436,41.0,88.16,0.827,43,38,1,0,206,180,26,0,0,0,42,sa74109be01aa3d308eb8b403271579bc
93,93,202.0,100.98,0.922,130,119,11,0,251,231,20,0,0,0,113,s85f6f007918533c4ab2c850dba993706
16,16,0.0,163.5,0.334,2,2,0,0,2,2,0,0,0,0,2,s7b272ff3994f369cbb99b7060bdfc3bd
14,14,0.0,214.25,0.572,4,4,0,0,4,4,0,0,0,0,4,s0ce815cff6cb38b4a36307c49fdff27a
17,14,0.0,187.5,1.0,2,2,0,0,2,2,0,0,0,0,2,sc9f78f76e7d432da82a135b7e3b7dd94
52,52,39.0,137.64,1.0,13,11,2,0,26,18,8,0,0,0,20,s304aac48f0ce3547916ca791e9b54307
14,14,0.0,108.67,1.0,3,3,0,0,3,3,0,0,0,0,2,sba101501410435a7b447a448e59aa62c
350,306,0.0,344.14,0.875,7,7,0,0,75,75,0,0,0,0,35,s68479c7a5f243116b6ca041d34d070f8
25,24,151.5,214.0,0.834,5,3,2,0,5,3,2,0,0,0,4,seb25cae10c773325ba98d94c6ed492f5
32,16,0.0,180.45,1.0,11,11,0,0,11,11,0,0,0,0,9,sa04b3bbff95f3a63900c2729646b4431
20,15,0.0,144.6,0.625,5,5,0,0,5,5,0,0,0,0,5,sf0275bed6b753e4eac603de60a8570a2
91,14,0.0,59.0,0.5,2,2,0,0,2,2,0,0,0,0,2,sa8c4b7b6685b3481934a54a7b51b5172
972,961,0.0,195.67,0.75,6,6,0,0,100,72,28,0,0,0,85,s00c686c8b6a9328c950ea79f443308ce
1728,1728,0.0,310.33,0.75,3,3,0,0,13,13,0,0,0,0,12,sb7e3bfb564c53ef19034e0db80455f2e
1782,1780,0.0,94.14,0.875,7,7,0,0,307,292,15,0,0,0,153,s4749e961dc24393dafba8df679c0c082
23,23,0.0,193.0,0.632,12,12,0,0,12,12,0,0,0,0,9,s8d0ae4bb7ede301ab963bd96dd440060
106,106,252.86,315.49,0.782,150,122,28,0,243,173,70,0,0,0,166,sc889b2c16e173eb58bfedca882fba7e2
45,45,193.0,156.0,0.75,3,1,2,0,12,7,5,0,0,0,9,s3abdc3b4ecb13c66accf87db9db15192
18,14,0.0,573.0,0.2,1,1,0,0,1,1,0,0,0,0,1,s85d2ce6965c233aca5d8bec0a32f11c6
97,57,88.0,118.69,0.948,18,16,2,0,40,30,10,0,0,0,25,s9f078aa1f7523932b83e781bb891df6d
247,70,56.2,57.05,1.0,26,21,5,0,94,66,28,0,0,0,30,sf0e1058ebeb13ad489cb69503467f554
588,538,0.0,111.45,0.734,11,11,0,0,13,13,0,0,0,0,5,sf34de05bea38349f9428628e43642f9a
25,25,0.0,445.0,0.25,1,1,0,0,1,1,0,0,0,0,1,s84b9cf9d9ba832fdb7fa932103eb74ad
32,32,0.0,204.54,0.686,24,24,0,0,27,27,0,0,0,0,11,sde6d8a55184c3c089707178643335994
33,30,255.5,194.61,0.589,20,18,2,0,20,18,2,0,0,0,8,s480f628e38853db6b804baeea7f941bd
237,57,8761.5,73.93,0.953,20,14,6,0,26,19,7,0,0,0,13,sf7b2206bf425384c813b2da86e7bf573
14,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,s20bdb81304e336b681d870a2bdb286a2
354,349,0.0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,2,sd2665895de8835809a1d7d0ff8873a4d
1218,96,69.33,134.5,1.0,11,8,3,0,19,15,4,0,0,0,15,se30009c26bc7341a8fcaf4e9832aeec3
353,348,128.0,91.83,0.867,13,6,7,0,90,69,21,0,0,0,56,s2cc36953295b30deb91a3414ab18ce0b
552,388,0.0,173.0,0.5,2,2,0,0,6,4,2,0,0,0,6,s92a526d99fec38c9aad965e77e8c1013
1417,1416,202.3,150.33,0.898,35,12,23,0,634,310,324,0,0,0,443,s6fd793cdc24b3ef9bdd588e1f0d7cf94
772,171,118.0,161.92,0.864,19,12,7,0,129,98,31,0,0,0,73,sc2f6062307f3341d940d5ab82b84016a
418,316,29.0,76.69,0.824,14,13,1,0,196,186,10,0,0,0,84,sf4f3991a6d2833e8907238cee0d9b235
511,511,42.14,76.91,0.899,62,55,7,0,419,395,24,0,0,0,293,s9a3f5a2d801737638d054b4a8726c2a7
